company_id,name,link,bse,nse,industry,sector,about
526622,MFL India Ltd,mflindia.in,526622,,Transport - Airlines,Air Transport Service,MFL India is primarily a Logistics and Cargo Transport Enterprise with its own fleet of modern trucks and other specialized cargo handling and transport equipment.
532701,Cella Space Ltd,sreekailas.com,532701,,Paper,Paper,Cella Space is engaged in the Business of Logistic Management Services.
532670,Shree Renuka Sugars Ltd,renukasugars.com,532670,RENUKA,Sugar,Sugar,"Shree Renuka Sugars Limited is an agri-business and bio-energy company. The Company is engaged in the business of sugar manufacturing, sugar refining, sugar trading, ethanol and co-generation."
522134,Artson Engineering Ltd,artson.net,522134,,Engineering - Turnkey Services,Capital Goods-Non Electrical Equipment,"Artson Engineering is engaged in the business of Manufacture of Structural Metal Products, Industrial & Infrastructure projects."
519287,Modern Dairies Ltd,modernsteels.com,519287,,Food - Processing - Indian,FMCG,"Modern Dairies Limited is an India-based company primarily engaged in business of manufacturing/processing of milk and milk products, such as milk powders, Cheese, Butter, Pure ghee and other milk based products, such as Casein, Whey protein concentrate (WPC) and Lactose."
531621,Centerac Technologies Ltd,ezcommindia.com,531621,,Computers - Software - Medium / Small,IT - Software,"Centerac Technologies Ltd. is a full service technology provider offering solutions for e-auctions, e-commerce platform, digital marketing, b2b public and private marketplaces, location-based services over Wi-Fi, mobile apps for POS billing."
500696,Hindustan Unilever Ltd,hul.co.in,500696,HINDUNILVR,Personal Care - Multinational,FMCG,"Hindustan Unilever is in the FMCG business comprising primarily of Home Care, Beauty & Personal Care and Foods & Refreshment segments. The Company has manufacturing facilities across the country and sells primarily in India."
500790,Nestle India Ltd,nestle.in,500790,NESTLEIND,Food - Processing - MNC,FMCG,Nestle India Limited is an India-based company engaged in food business. The Company operates in the Food segment.
532011,Pooja Entertainment & Films Ltd,poojaentertainmentandfilms.in,532011,,Entertainment / Electronic Media Software,Entertainment,Pooja Entertainment and Films Limited engages in the film production and other related activities primarily in India.
500870,Castrol India Ltd,castrol.co.in,500870,CASTROLIND,Chemicals,Chemicals,"Castrol is the world leading manufacturer, distributor and marketer of premium lubricating oils, greases and related services to automotive, industrial, marine, aviation, oil exploration and production customers across the world."
532884,Refex Industries Ltd,refex.co.in,532884,REFEX,Chemicals,Chemicals,"Refex Industries is engaged in the business of refilling of eco friendly Refrigerant Gases. The Company's portfolio consists of trading and re-filling of Refrigerant Gases. The Company is also into the sale of Electrical Energy based on the generation of power and Sale of Solar Accessories and Job service related works etc.,"
542726,Indiamart Intermesh Ltd,indiamart.com,542726,INDIAMART,Miscellaneous,E-Commerce/App based Aggregator,"IndiaMART InterMESH is engaged in the business of e-marketplace for business needs, which acts as an interactive hub for domestic and international buyers and suppliers."
506879,Gujarat Themis Biosyn Ltd,gtbl.in,506879,,Pharmaceuticals - Indian - Bulk Drugs,Pharmaceuticals,Gujarat Themis Biosyn is principally engaged in the business pertaining to manufacturing of pharmaceuticals and medicinal chemicals.
513343,Grand Foundry Ltd,indiatimes.com,513343,GFSTEELS,Steel - Medium / Small,Steel,"Grand Foundry is engaged in the business of manufaturing of Bright Steel bars and wires. The companys products are utilized for various applications in the engineering industries, including petro chemical,oil and natural gas and automative industries throughout the world."
533278,Coal India Ltd,coalindia.in,533278,COALINDIA,Mining / Minerals / Metals,Mining & Mineral products,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilisers, brick kilns etc."
539570,Acewin Agriteck Ltd,acewinagriteck.com,539570,,Miscellaneous,Miscellaneous,Acewin Agriteck is engaged in hardcore software development and information technology outsourcing company.
524164,IOL Chemicals & Pharmaceuticals Ltd,iolcp.com,524164,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,Pharmaceuticals,IOL Chemicals & Pharmaceuticals is engaged in the business of Manufacture of organic and inorganic chemical compounds and Pharmaceuticals.
500830,Colgate-Palmolive (India) Ltd,colgate.co.in,500830,COLPAL,Personal Care - Multinational,FMCG,Colgate-Palmolive (India) in the business of Personal Care (including Oral Care).
526269,Crestchem Ltd,crestchemlimited.in,526269,,Chemicals,Chemicals,Crestchem is primarily involved in manufacturing of Nutrition- Chemical Products
539956,TAAL Enterprises Ltd,taalent.co.in,539956,,Transport - Airlines,Air Transport Service,TAAL Enterprises is providing Aircraft Charter Services.
542830,Indian Railway Catering & Tourism Corporation Ltd,irctc.com,542830,IRCTC,Travel Agencies,Railways,Railways >> Travel Agencies
NSE - SM : INNOVANA,Innovana Thinklabs Ltd,Company website,NSE - SM : INNOVANA,,Computers - Software - Medium / Small,IT - Software,IT - Software >> Computers - Software - Medium / Small
508486,Hawkins Cooker Ltd,hawkinscookers.com,508486,,Domestic Appliances,Consumer Durables,Hawkins Cookers is engaged in the business of Manufacture of Pressure Cookers and Cookware and Wholesale of Cookware.
503127,Raja Bahadur International Ltd,rajabahadur.com,503127,,Construction,Realty,Raja Bahadur International is engaged in Construction and Real Estate Development.
500120,Diamines & Chemicals Ltd,dacl.co.in,500120,,Petrochemicals,Petrochemicals,Diamines & Chemicals is engaged in the business of Manufacture of Organic Chemicals Compounds and Electric Power Generation using other non-Conventional Sources (Windmill).
540402,Manas Properties Ltd,manasproperties.co.in,540402,,Construction,Realty,"Manas Properties is an India-based real estate company. The Company is engaged into the business of acquiring priced land parcels, developing them and leasing it out to corporate/industrial clients."
NSE : BALAXI,Balaxi Ventures Ltd,balaxiventures.in,NSE : BALAXI,,Trading,Trading,Balaxi Ventures Limited operates as an investment company in India.
500459,Procter & Gamble Hygiene and Health Care Ltd,pg.com/en_IN,500459,PGHH,Personal Care - Multinational,FMCG,Procter & Gamble Hygiene and Health Care is engaged in the manufacturing and selling of branded packaged fast moving consumer goods in the femcare and healthcare businesses.
509966,VST Industries Ltd,vsthyd.com,509966,VSTIND,Cigarettes,Tobacco Products,VST Industries is engaged in the business of Cigarettes containing tobacco & Unmanufactured Tobacco.
514448,Jyoti Resins and Adhesives Ltd,euro7000.com,514448,,Chemicals,Chemicals,Jyoti Resins and Adhesives is a manufacturer of synthetic resin adhesives. The Company manufactures various types of wood working adhesives under the brand name of EURO 7000.
540750,Indian Energy Exchange Ltd,iexindia.com,540750,IEX,Miscellaneous,Miscellaneous,Indian Energy Exchange is engaged in the business of provide an automated platform and infrastructure for carrying out trading in electricity units for physical delivery of electricity.
