,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Mar 2010,-0.00,,0.48,,,,,-0.48,,-0.00,-0.00,-0.00,-0.48,-0.00%,-0.48,-5.13,-0.00%,0.94,0.94,-1.82,-0.00,0.94,0.00,0.00,0.94,0.06,-0.00,0.08,0.07,-0.00,-0.00,0.06,0.00,0.00,0.04,0.01,0.01,0.06,539032,,,
Mar 2011,8.56,,9.07,99%,0%,6%,1%,-0.51,-5.96%,-0.00,-0.00,-0.00,-0.51,-0.00%,-0.51,-5.45,-0.00%,0.94,0.94,-2.33,-0.00,1.42,0.00,1.41,0.01,0.03,-0.00,0.08,0.07,-0.00,-0.00,0.03,0.00,0.00,0.02,0.01,0.00,0.03,539032,,,
Mar 2012,-0.00,-100%,0.55,,,,,-0.55,,-0.00,0.01,-0.00,-0.56,-0.00%,-0.56,-5.98,-0.00%,0.94,0.94,-2.89,-0.00,1.99,0.00,1.97,0.02,0.04,-0.00,0.08,0.07,-0.00,-0.00,0.04,0.00,0.00,0.02,0.01,0.01,0.04,539032,,,
Mar 2013,0.55,,0.53,0%,0%,84%,13%,0.02,3.64%,-0.00,-0.00,-0.00,0.02,-0.00%,0.01,0.11,-0.00%,0.94,0.94,-2.88,-0.00,2.52,0.00,2.49,0.03,0.58,-0.00,0.08,0.07,-0.00,-0.00,0.58,0.00,0.55,0.01,0.01,0.01,0.58,539032,,,
Mar 2014,0.35,-36%,0.09,0%,0%,14%,11%,0.26,74.29%,0.03,-0.00,-0.00,0.29,-0.00%,0.29,0.51,-0.00%,5.72,5.72,-2.59,-0.00,2.64,0.00,2.47,0.17,5.77,-0.00,0.08,0.07,-0.00,-0.00,5.77,0.00,0.90,0.36,4.51,0.00,5.77,539032,,,
Mar 2015,0.12,-66%,0.95,0%,0%,700%,92%,-0.83,-691.67%,0.05,-0.00,-0.00,-0.78,-0.00%,-0.78,-1.36,-0.00%,5.72,5.72,-3.37,-0.00,3.41,0.00,3.26,0.15,5.76,-0.00,0.08,0.07,-0.00,-0.00,5.76,0.00,1.03,0.15,4.57,0.01,5.76,539032,,,
Mar 2016,0.46,283%,0.35,0%,0%,52%,24%,0.11,23.91%,-0.00,-0.00,-0.00,0.11,63.64%,0.04,0.07,-0.00%,5.72,5.72,-3.33,-0.00,3.44,0.00,3.28,0.16,5.83,0.01,0.08,0.08,-0.00,-0.00,5.82,0.00,1.34,0.18,4.31,-0.01,5.83,539032,,,
Mar 2017,0.26,-43%,0.30,38%,0%,42%,35%,-0.04,-15.38%,-0.00,-0.00,-0.00,-0.04,-0.00%,-0.04,-0.07,-0.00%,5.72,5.72,-3.37,-0.00,0.27,0.00,0.00,0.27,2.62,-0.00,0.08,0.08,-0.00,-0.00,2.62,0.00,1.55,0.00,1.07,0.00,2.62,539032,,,
Mar 2018,0.73,181%,0.85,92%,1%,15%,8%,-0.12,-16.44%,-0.00,-0.00,-0.00,-0.12,-0.00%,-0.12,-0.21,-0.00%,5.72,5.72,-3.50,-0.00,0.64,0.62,0.00,0.02,2.86,0.01,0.09,0.08,-0.00,-0.00,2.85,0.00,1.88,0.01,0.95,0.01,2.86,539032,,,
Mar 2019,4.81,559%,4.76,90%,0%,3%,6%,0.05,1.04%,0.06,-0.00,0.01,0.10,30.00%,0.07,0.09,-0.00%,8.12,8.12,-3.39,-0.00,0.80,0.72,0.00,0.08,5.53,0.06,0.15,0.09,-0.00,-0.00,5.47,0.08,3.62,1.08,0.56,0.13,5.53,539032,,,
