,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2015,111,,109,96%,2%,0%,0%,2,2%,0,2,0,0,33%,0,0.93,0%,2,1.83,1,15,8,7.15,0.47,0.85,27,2,1.76,0.07,0,0,25,21.69,3.26,0.01,0.10,0.04,27,NSE - SM : MOKSH,,,
Mar 2016,143,29.01%,140,96%,2%,0%,0%,3,2%,0,2,0,0,32%,0,0.29,0%,5,5.17,3,13,23,20.48,0.13,2.87,44,2,1.76,0.11,0,0,42,26.83,12.99,2.33,0.13,0.06,44,NSE - SM : MOKSH,,,
Mar 2017,240,67.68%,233,96%,1%,0%,0%,7,3%,0,3,0,5,32%,3,6.00,0%,5,5.17,6,36,5,2.11,0.00,3.23,52,2,2.00,0.13,0,0,50,37.81,8.52,3.82,0.19,0.12,52,NSE - SM : MOKSH,,,
Mar 2018,310,29.20%,301,96%,1%,0%,0%,8,3%,0,3,0,6,33%,4,3.65,0%,11,10.73,15,34,2,0.00,0.00,2.43,62,2,1.85,0.00,0,0,60,43.38,9.86,4.59,2.26,0.24,62,NSE - SM : MOKSH,,,
Mar 2019,381,22.98%,372,96%,1%,0%,0%,9,2%,1,3,0,7,28%,5,4.47,0%,11,10.73,20,50,5,2.62,0.00,1.95,85,2,1.85,0.00,0,0,83,46.46,10.40,22.89,2.84,0.28,85,NSE - SM : MOKSH,,,
Mar 2020,344,-9.69%,338,96%,1%,0%,0%,6,2%,5,4,0,7,25%,5,4.99,0%,11,10.73,25,60,8,4.04,0.00,3.53,103,0,0.06,0.00,0,0,103,27.23,35.46,37.53,2.46,0.65,103,NSE - SM : MOKSH,,,
Mar 2009,51,-2.74%,46,52%,32%,3%,4%,5,10%,0,2,2,0,13%,0,,0%,8,7.89,22,27,3,2.17,0.07,0.33,59,34,49,15,0,0,25,15.21,6.67,0.60,2.51,0.00,59,531952,,,
Mar 2010,48,-6.48%,43,50%,32%,4%,4%,5,10%,0,2,3,0,17%,0,,0%,9,8.99,24,21,3,2.41,0.00,0.47,57,31,49,18,0,0,26,15.16,8.68,0.57,1.60,0.00,57,531952,,,
Mar 2011,53,11.20%,48,54%,28%,4%,4%,5,10%,0,2,3,0,17%,0,0.33,0%,9,8.99,25,22,3,2.02,0.54,0.41,58,28,49,21,0,0,30,20.19,7.39,0.35,1.40,0.94,58,531952,,,
Mar 2012,68,27.50%,62,79%,5%,3%,5%,6,8%,0,3,2,1,11%,1,0.87,0%,9,8.99,25,22,4,3.36,0.00,0.20,60,26,49,23,0,1,33,20.25,9.51,0.69,1.50,0.99,60,531952,,,
Mar 2013,75,10.10%,69,60%,26%,2%,5%,5,7%,0,3,2,1,22%,1,0.75,0%,10,9.65,26,18,5,3.50,0.68,0.71,59,26,50,24,0,0,33,17.50,10.29,2.33,1.87,1.05,59,531952,,,
Mar 2014,92,23.25%,87,68%,20%,2%,5%,5,5%,0,2,2,1,20%,1,0.81,0%,10,9.65,27,25,3,2.00,0.86,0.33,65,31,57,26,0,0,35,16.27,13.18,0.41,3.23,1.51,65,531952,,,
Mar 2015,116,25.73%,111,72%,16%,3%,5%,5,4%,2,3,3,1,37%,1,0.65,0%,10,9.65,28,19,11,10.25,0.29,0.60,68,34,61,27,0,0,34,8.52,20.97,0.44,2.25,1.97,68,531952,,,
